reference_fiche;ndeg_de_version;nature_juridique_du_rappel;categorie_de_produit;sous_categorie_de_produit;nom_de_la_marque_du_produit;noms_des_modeles_ou_references;identification_des_produits;conditionnements;date_debut_fin_de_commercialisation;temperature_de_conservation;marque_de_salubrite;informations_complementaires;zone_geographique_de_vente;distributeurs;motif_du_rappel;risques_encourus_par_le_consommateur;preconisations_sanitaires;description_complementaire_du_risque;conduites_a_tenir_par_le_consommateur;numero_de_contact;modalites_de_compensation;date_de_fin_de_la_procedure_de_rappel;informations_complementaires_publiques;lien_vers_la_liste_des_images;lien_vers_la_liste_des_produits;lien_vers_l_affichette_pdf;date_ref
2021-05-0176;1;Volontaire;Bébés-Enfants (hors alimentaire);Articles pour enfants et puériculture;TEX Baby;Motif dinosaures;3616473245793;;Du 14/12/2020 au 19/05/2021;;;;France entière;CARREFOUR;Détection un risque potentiel de migration de mélamine à un taux supérieur aux limites règlementaires.;Intoxication;;Le risque de migration existe dans le cadre d'une utilisation longue durée à température élevée.;Ne plus utiliser le produit Rapporter le produit au point de vente;805900021;Remboursement;jeudi 19 août 2021;Services et appel gratuit - de 9 h à 19 h du lundi au samedi;http://rappel.conso.gouv.fr/image/ee27e442-8498-4774-9b80-cdf1e88f3770.jpg http://rappel.conso.gouv.fr/image/0ffc6a5a-058b-4c84-a4f8-ffc11fb0752b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/488/Interne;2021-05
2021-05-0179;1;Imposé par l’administration;Alimentation;Autres;espoir jus de fruits;pur jus de pomme;3000831743425  Date de durabilité minimale 09/12/2022;bouteille 100cl;Du 10/12/2020 au 04/01/2021;Produit à conserver à température ambiante;;N° de lot sur le bouchon 09122022;France entière;espoir jus de fruits;taux de patuline supérieur au norme;Autres contaminants biologiques;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente;678963046;Remboursement Echange;mercredi 1 septembre 2021;;http://rappel.conso.gouv.fr/image/8a1da1f6-835f-4c08-9d75-86b2e08e2ddc.jpg http://rappel.conso.gouv.fr/image/d374ce14-0e30-4b85-b4fc-1bb167c6e42e.jpg;;http://rappel.conso.gouv.fr/affichettePDF/491/Interne;2021-05
2021-05-0177;2;Volontaire;Alimentation;Plats préparés et snacks;PIRATO;PAPRIKA;26035352 Lot XFE119 Date de durabilité minimale 27/01/2022;Tubes;Du 05/05/2021 au 21/05/2021;Produit à conserver à température ambiante;;;France entière;ALDI;Erreur de couvercle par le fournisseur de tubes;Substances allergisantes non déclarées;;Mention sur le couvercle Sans Gluten, alors que la recette n'est pas fabriqué avec maîtrise des contaminations croisées.;Ne plus consommer Rapporter le produit au point de vente;;Remboursement;samedi 5 juin 2021;;http://rappel.conso.gouv.fr/image/2feb113f-2934-4f01-a92f-6afea2d10a1a.jpg;;http://rappel.conso.gouv.fr/affichettePDF/492/Interne;2021-05
2021-05-0182;1;Volontaire;Alimentation;Fruits et légumes;SANS MARQUE;OLIVES HALKIDIKI FARCIES AIL ET PIMENT;0204482000000  Date limite de consommation 26/05/2021 0204482000000  Date limite de consommation 03/06/2021;Barquettes plastiques, vendues au poids;Du 11/05/2021 au 20/05/2021;Produit à conserver au réfrigérateur;;;;SODIRETZ SAS (E.LECLERC ATOUT SUD);Erreur d'étiquetage - allergène (amande) non mentionné des  Olives Halkidiki farcies AMANDES  ont été emballées sous le gencod, la dénomination et l'étiquetage des  Olives Halkidiki farcies ail et piment;Substances allergisantes non déclarées;;Les clients allergiques aux amandes peuvent développer une réaction allergique.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente;251707070;Remboursement;samedi 5 juin 2021;Par mesure de précaution, nous prions donc les clients allergiques ou intolérants aux Amandes ayant acheté ce produit et qui le détiendraient encore, de ne pas le consommer, et de bien vouloir le rapporter au point de vente.;http://rappel.conso.gouv.fr/image/dd27da0b-fbef-4041-8f67-8db261b03134.jpg;;http://rappel.conso.gouv.fr/affichettePDF/495/Interne;2021-05
2021-05-0183;1;Volontaire;Alimentation;Aliments diététiques et nutrition;First Iron Systems;"Rip Cut 24h Stage 2 - 80 gélules. 
Numéro du lot : F02707
Date de durabilité minimale :01/02/2024";F02707 Date de durabilité minimale 01/02/2024;"Conditionnement dans une boite en carton. 
Poids : 98,6 g.";Du 02/03/2020 au 07/05/2021;Produit à conserver à température ambiante;;;France entière;"Produit vendu par ligne par L&S SRL - 79 rue du romarin 7782 Ploegsteert via : https://www.first-iron-systems.com/language/fr/
La liste des points de vente en France est jointe à la présente alerte.";Dépassement du taux maximal autorisé d'oxyde d'éthylène dans une matière première entrant dans la composition du produit.;Présence de substance interdite;;;Ne plus consommer Contacter le point de vente;;Autre (voir informations complémentaires);;;http://rappel.conso.gouv.fr/image/f8feb1d0-a5ec-4381-bb58-4f36e773c8e0.jpg;;http://rappel.conso.gouv.fr/affichettePDF/496/Interne;2021-05
2021-05-0184;1;Volontaire;Alimentation;Produits de la pêche et d'aquaculture;LES VIGNES MARINES;MOULE DE CORDE BIO ELEVAGE France;3000121311723 20210515 et 20210516 Date limite de consommation entre le 23/05/2021 et le 24/05/2021;;Du 18/05/2021 au 21/05/2021;Produit à conserver au réfrigérateur;FR 44.069.002 CE;;France entière;Magasins E. Leclerc;Présence d'Escherichia coli;Escherichia coli;Les Escherichia coli peuvent entraîner dans les 3 jours qui suivent la consommation, des gastro-entérites marquées par des douleurs abdominales et des diarrhées (éventuellement accompagnées de sang), accompagnées ou non de fièvre. Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient ce type de symptômes sont invitées à consulter sans délai leur médecin traitant en lui signalant cette consommation et la nature du germe contaminant.;;Ne plus consommer Rapporter le produit au point de vente;960445769;Remboursement;vendredi 4 juin 2021;;http://rappel.conso.gouv.fr/image/fd06edbc-1bd1-4bfc-ad6d-b3e4788421b8.jpg;;http://rappel.conso.gouv.fr/affichettePDF/497/Interne;2021-05
2021-05-0185;1;Volontaire;Alimentation;Produits de la pêche et d'aquaculture;LES VIGNES MARINES;MOULE DE CORDE FILIERE ILE DUMET ELEVAGE France;3663515862999 20210515 et 20210516 Date limite de consommation entre le 23/05/2021 et le 24/05/2021;;Du 18/05/2021 au 21/05/2021;Produit à conserver au réfrigérateur;FR 44.069.002 CE;;;Magasins E. Leclerc;Présence d'Escherichia coli;Escherichia coli;Les Escherichia coli peuvent entraîner dans les 3 jours qui suivent la consommation, des gastro-entérites marquées par des douleurs abdominales et des diarrhées (éventuellement accompagnées de sang), accompagnées ou non de fièvre. Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient ce type de symptômes sont invitées à consulter sans délai leur médecin traitant en lui signalant cette consommation et la nature du germe contaminant.;;Ne plus consommer Rapporter le produit au point de vente;960445769;Remboursement;vendredi 4 juin 2021;;http://rappel.conso.gouv.fr/image/87ea8171-499e-4da8-b7a4-fa32a87b4a1d.jpg;;http://rappel.conso.gouv.fr/affichettePDF/498/Interne;2021-05
2021-05-0187;1;Imposé par l’administration;Alimentation;Céréales et produits de boulangerie;Produits fabriqués par BISCUITERIE DE BOURGOGNE et/ou portant le code emballeur : EMB 89208A;Mini Financiers aux Amandes / aux Pépites de Chocolat / au Caramel Beurre Salé / à la Framboise / à la Myrtille / au Cassis / à la Noix de Coco / à la Noix de Coco enrobés de Chocolat Noir;voir liste des produits en pièce jointe Date de durabilité minimale entre le 07/02/2021 et le 04/08/2021;Conditionnés en sachets fraîcheurs individuels et emballés en : articles en céramique, articles en porcelaine, boîtes métal, bocaux verre, coffrets, étuis, paniers, pochons, sacs, sachets, tubos;Depuis le 11/08/2020;Produit à conserver à température ambiante;;;France entière;Multiples canaux de distribution : GMS, épiceries, grossistes, cafetiers, restaurateurs, torréfacteurs, commerces de bouche, revendeurs, CE entreprises, associations, mairies, boutiques en ligne, vente direct boutique sur site de fabrication...;Présence potentielle de corps étrangers métalliques (filaments métalliques);Inertes (verre, métal, plastique, papier, textile…);En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.;;Ne plus consommer Rapporter le produit au point de vente;386336607;Remboursement Echange;samedi 24 juillet 2021;;http://rappel.conso.gouv.fr/image/60c4f1ee-640d-4c53-9eda-b456eb16f85a.jpg http://rappel.conso.gouv.fr/image/57cb2aa5-110e-4be7-ad77-335a6bf55c8b.jpg http://rappel.conso.gouv.fr/image/87b51611-be45-433d-b476-5e5f4bdc25af.jpg http://rappel.conso.gouv.fr/image/63b8563b-33bc-4241-9e69-c67db7f31319.jpg http://rappel.conso.gouv.fr/image/cfa88209-2136-4375-b3d6-680cbedd57b4.jpg;http://rappel.conso.gouv.fr/document/b0e7a703-859b-440a-bc14-bb118d7c1995/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/500/Interne;2021-05
2021-05-0188;1;Imposé par l’administration;Alimentation;Céréales et produits de boulangerie;Produits fabriqués par BISCUITERIE DE BOURGOGNE et/ou portant le code emballeur : EMB 89208A;Mini Tuiles aux Amandes / aux Pépites de Chocolat / au Caramel Beurre Salé / à l'Orange / au Cassis / aux Noisettes / aux Noisettes enrobées de Chocolat Noir;voir liste des produits en pièce jointe Date de durabilité minimale entre le 14/02/2021 et le 04/08/2021;Nues en vrac en boîte plastique de 150 g ou en seau plastique de 250 g;Depuis le 18/08/2020;Produit à conserver à température ambiante;;;France entière;Multiples canaux de distribution : GMS, épiceries, grossistes, cafetiers, restaurateurs, torréfacteurs, commerces de bouche, revendeurs, CE entreprises, associations, mairies, boutiques en ligne, vente direct boutique sur site de fabrication...;Présence potentielle de corps étrangers métalliques (filaments métalliques);Inertes (verre, métal, plastique, papier, textile…);En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.;;Ne plus consommer Rapporter le produit au point de vente;386336607;Remboursement Echange;samedi 24 juillet 2021;;http://rappel.conso.gouv.fr/image/d31e09e9-258e-4e8c-8e40-0dc97c903a79.jpg http://rappel.conso.gouv.fr/image/be09a884-f4f7-41c7-be6b-bb41e02ebf4f.jpg http://rappel.conso.gouv.fr/image/fea35110-a8d0-4d3f-bb80-2a88bc83dd80.jpg http://rappel.conso.gouv.fr/image/a2f21547-2d9c-4ad6-993e-fbd69d25048d.jpg http://rappel.conso.gouv.fr/image/aca2a9bf-be42-422b-bcf7-36532de17291.jpg;http://rappel.conso.gouv.fr/document/8ae780ab-b34e-4072-9be1-4af62b62520e/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/501/Interne;2021-05
2021-05-0190;1;Volontaire;Alimentation;Plats préparés et snacks;ADVENTURE FOOD;lots : 0000/3800 DDM 04/07/2021, 0000/2369 DDM 08/07/2021 et 2370/3693 DDM 09/07/2021.;lots : 0000/3800 DDM 04/07/2021, 0000/2369 DDM 08/07/2021 et 2370/3693 DDM 09/07/2021. Date de durabilité minimale 10/07/2021;;Du 01/07/2020 au 08/01/2021;Produit à conserver à température ambiante;;;France entière;www.lyophilise.fr;Présence ETO;Produits phytosanitaires non autorisés;;Présence d'oxyde d'éthylène;Ne plus consommer;297872373;Remboursement;samedi 10 juillet 2021;;http://rappel.conso.gouv.fr/image/c19598a2-3b4d-47ab-8fa1-8144704d788f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/503/Interne;2021-05
2021-05-0192;1;Volontaire;Alimentation;Noix et graines;Maison Naja;"Pot 200g
Seau 5KG";3266481385426 16/04/2022 - 03/02/2022 - 30/10/2021 - 19/11/2021 Date de durabilité minimale entre le 30/10/2021 et le 16/04/2022  17/08/2021 - 27/04/2022 Date de durabilité minimale entre le 17/08/2021 et le 27/04/2022;"Pot en verre 200g
Seau de 5 Kg";Du 30/10/2020 au 21/05/2021;Produit à conserver à température ambiante;;;France entière;Magasins spécialisés Bio et épiceries fines;Détection d'oxyde d'éthylène dans un lot de sésame entrant dans la composition du produit fini.;Produits phytosanitaires non autorisés;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente;442434636;Remboursement;mercredi 30 juin 2021;;http://rappel.conso.gouv.fr/image/f26cb3a5-52a3-4193-a96d-232b87f9d0e8.jpg;;http://rappel.conso.gouv.fr/affichettePDF/505/Interne;2021-05
2021-05-0193;1;Volontaire;Maison-Habitat;Produits de construction;YZAKI;"Référence CASH PISCINES : C-11-213390
Référence FABRICANT : P4180952F527";5020112133903 Tous les lots;UNITAIRE;Du 01/02/2021 au 20/05/2021;;;"PISCINE RECTANGULAIRE SANS FILTRATION 5.49mx2.74mx1.32m + SKIMMER
COULEUR GRISE AVEC LOGO YZAKI VERT FACE APPOSE SUR FACE LATERALE";France entière;CASH PISCINES;DEFAUT DE SOUDURE AU NIVEAU DU LINER;Blessures externes;;Dégâts des eaux;Ne plus utiliser le produit Contacter le service consommateur;320890266;Echange;lundi 21 juin 2021;Malgré des contrôles qualité minutieux, il s'avère qu'un certain nombre de produits font l'objet d'un défaut de fabrication. Par mesure de précaution, nous avons décidé d'opérer le remplacement de la totalité des liners.;http://rappel.conso.gouv.fr/image/20f57393-4ba0-4f0f-a30c-a20ea12b5985.jpg http://rappel.conso.gouv.fr/image/1ea33ab7-3259-4544-af16-c8b01b8802fd.jpg http://rappel.conso.gouv.fr/image/f2e0aab2-edbf-421f-8761-ce92990c204c.jpg;http://rappel.conso.gouv.fr/document/e42c9aea-26c7-4dd9-88f1-1fd029a4733f/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/506/Interne;2021-05
2021-05-0194;1;Volontaire;Alimentation;Céréales et produits de boulangerie;STIRATINI;0090555 Gressins au sésame, graines de lin et pavot 230g;9002859090912 Tous les lots Date de durabilité minimale 31/08/2021 9002859090912 Tous les lots Date de durabilité minimale 02/10/2021 9002859090912 Tous les lots Date de durabilité minimale 14/10/2021 9002859090912 Tous les lots Date de durabilité minimale 15/10/2021;230g;Du 09/10/2020 au 25/05/2021;Produit à conserver à température ambiante;;;;Enseigne E.LECLERC;Présence d'oxyde d'éthylène dans les graines de sésame dépassant la limite autorisée;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;670070057;Remboursement;lundi 26 juillet 2021;;http://rappel.conso.gouv.fr/image/ba2a35c4-26bf-4b8c-9f34-d26ba6dd2e33.jpg;;http://rappel.conso.gouv.fr/affichettePDF/507/Interne;2021-05
2021-05-0195;1;Volontaire;Vêtements, Mode, EPI;Equipements de Protection Individuels;SHANGAI RUICHENG INDUSTRY CO LTD;MASK GRAPH KN95 / GRAPHENE MASKS GB2626-2006;Tous les lots  6939448101960 Tous les lots Date limite de consommation 19/02/2023;"Sachets de 5 masques 
Boîte de 10 sachets 
Carton de 12 boîtes";Du 15/06/2020 au 23/04/2021;;;Masques KN95 en graphène;France entière;TOUS DISTRIBUTEURS;non-conformité de ces produits à la réglementation concernant les produits biocides du fait que la substance active  graphène  ne fait pas partie des substances autorisées.;Dommages internes;;Effets consécutifs liés à un risque d'inhalation de la substance graphène.;Ne plus utiliser le produit Rapporter le produit au point de vente;355540004;Remboursement;;;http://rappel.conso.gouv.fr/image/d2bf99e5-ed68-43d2-a205-38583a08616f.jpg http://rappel.conso.gouv.fr/image/f93829ae-da7f-4f0d-ac9a-209b3abbad51.jpg;;http://rappel.conso.gouv.fr/affichettePDF/508/Interne;2021-05
2021-05-0196;1;Volontaire;Alimentation;Viandes;Kerméné;"DLC : 21/05/2021
N° de lot : 11652420
Estampille : FR 22.364.008 CE";11652420 Date limite de consommation 21/05/2021;;Du 08/05/2021 au 12/05/2021;Produit à conserver au réfrigérateur;;;Lannion;Centre E.LECLERC Perlandis;Présence de listéria monocytogènes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;296480094;Remboursement;mardi 15 juin 2021;;http://rappel.conso.gouv.fr/image/06809588-ae75-40b1-ade9-17509e64da8b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/509/Interne;2021-05
2021-05-0198;1;Volontaire;Alimentation;Noix et graines;Fabrique à nuts;Barquette 140g;3266481419541 28/10/2021 - 29/12/2021 Date de durabilité minimale entre le 28/10/2021 et le 29/12/2021;Barquette 140 g;Du 28/10/2020 au 21/05/2021;Produit à conserver à température ambiante;;;Monaco;GMS;Détection d'oxyde d'éthylène dans un lot de sésame entrant dans la composition du produit fini.;Produits phytosanitaires non autorisés;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente;442434636;Remboursement;mercredi 30 juin 2021;;http://rappel.conso.gouv.fr/image/76501242-1709-4e1c-923b-14827aefa1ae.jpg;;http://rappel.conso.gouv.fr/affichettePDF/511/Interne;2021-05
2021-05-0199;1;Volontaire;Alimentation;Noix et graines;Maison Naja;Pot de 200g;3266481822525 03/11/2021 - 19/11/2021 Date de durabilité minimale entre le 03/11/2021 et le 19/11/2021;Pot en verre 200g;Du 03/11/2020 au 21/05/2021;Produit à conserver à température ambiante;;;France entière;Magasins spécialisés BIO et épiceries fines;Détection d'oxyde d'éthylène dans un lot de sésame entrant dans la composition du produit fini.;Produits phytosanitaires non autorisés;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente;442434636;Remboursement;mercredi 30 juin 2021;;http://rappel.conso.gouv.fr/image/e792ade9-0d38-4fb8-93e8-f8200816b1c6.jpg;;http://rappel.conso.gouv.fr/affichettePDF/512/Interne;2021-05
2021-05-0200;1;Volontaire;Alimentation;Noix et graines;Maison Naja;Pot de 200g;3266481822532 03/11/2021 - 19/11/2021 Date de durabilité minimale entre le 03/11/2021 et le 19/11/2021;Pot en verre 200g;Du 03/11/2020 au 21/05/2021;Produit à conserver à température ambiante;;;France entière;Magasins spécialisés BIO et épiceries fines;Détection d'oxyde d'éthylène dans un lot de sésame entrant dans la composition du produit fini.;Produits phytosanitaires non autorisés;;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente;442434636;Remboursement;mercredi 30 juin 2021;;http://rappel.conso.gouv.fr/image/c88ddb97-662c-4adb-a186-9e195e8d23d5.jpg;;http://rappel.conso.gouv.fr/affichettePDF/513/Interne;2021-05
2021-05-0201;1;Volontaire;Maison-Habitat;Produits chimiques;Sans marque;BORAX DECAHYDRATÉ | TETRABORATE DE SODIUM;Réf. 11021 - N° lot FR061218 Date de consommation recommandée 31/12/2022;Seau de 1KG et Pochette Kraft 500gr.;Du 07/12/2019 au 03/05/2021;;;Produit uniquement commercialisé sur la plateforme de vente eBay.fr;France entière;eBay.fr;Etiquetage non-conforme;Dommages internes;;H361FD : Peut nuire à la fertilité ou au foetus;Rapporter le produit au point de vente Détruire le produit;;Remboursement;samedi 31 juillet 2021;;http://rappel.conso.gouv.fr/image/adbeaa6b-58aa-4857-ad46-3a45de0b8ceb.jpg http://rappel.conso.gouv.fr/image/f910c805-befc-4ead-bb65-e3efc61db4f2.jpg;;http://rappel.conso.gouv.fr/affichettePDF/514/Interne;2021-05
2021-05-0202;1;Volontaire;Alimentation;Aliments diététiques et nutrition;SANTAREL;LIGNEREL;LI156F Date de durabilité minimale 30/06/2023;pilulier de 100 gélules;Du 24/09/2020 au 21/05/2021;Produit à conserver à température ambiante;;;France entière;Achat direct laboratoire;Présence d'oxyde d’éthylène supérieure à la limite autorisée dans l’extrait de Coleus présent dans le produit LIGNEREL;Produits phytosanitaires non autorisés;;;Ne plus consommer Contacter le service consommateur;977421000;Remboursement Echange Autre (voir informations complémentaires);;Contacter le service consommateur;http://rappel.conso.gouv.fr/image/c807b027-d7d5-4357-9531-2c44eecc76c6.jpg http://rappel.conso.gouv.fr/image/9a7067f1-7155-49be-9c92-a627bedda21a.jpg;;http://rappel.conso.gouv.fr/affichettePDF/515/Interne;2021-05
2021-05-0203;1;Volontaire;Alimentation;Aliments diététiques et nutrition;STC;STC BURN FAT 120 gélules;3700225601842 20160A Date de durabilité minimale 30/06/2023 3700225601842 21011A Date de durabilité minimale 31/01/2024 3700225601842 21014A Date de durabilité minimale 31/01/2024;Pilulier noir;Du 07/07/2020 au 28/04/2021;Produit à conserver à température ambiante;;;France entière;Pharmacies - Parapharmacies / Grossistes-Répartiteurs / Site internet;Crise sanitaire - Oxyde Éthylène : Teneur non-conforme en oxyde d'éthylène dans l'une des matières premières (Extrait de Coleus);Produits phytosanitaires non autorisés;;;Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;492020222;Remboursement Echange;;;http://rappel.conso.gouv.fr/image/0343d2a3-3ca9-415d-b65e-c3cce419f312.jpg;;http://rappel.conso.gouv.fr/affichettePDF/516/Interne;2021-05
2021-05-0204;1;Imposé par l’administration;Alimentation;Viandes;OKOLAND;Delikatess Geflügelbratwürstchen;4031829230640 Tous les lots Date limite de consommation entre le 09/07/2021 et le 10/07/2021;4031829230688;Du 03/05/2021 au 07/05/2021;Produit à conserver au réfrigérateur;DE - NI34000 - EG;;8, Rue du Tilleul - 67250 HOFFEN;L'Oasis - Épicerie & Drive B!O;Défaut organoleptique des saucisses lié à une contamination chimique;Autres contaminants chimiques;;Les produits peuvent occasionnellement présenter une altération du goût. Les saucisses affectées sont reconnaissables à leur goût amer.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;649878235;Remboursement;lundi 31 mai 2021;En cas de question, veuillez contacter le service client au 0800 58 88 361 ou le 05031 960713 du lundi au vendredi de 9h à 16h, alternativement par email à qm@oekoland.de;http://rappel.conso.gouv.fr/image/91b84b46-3940-42fe-ac75-e5628a453a92.jpg;;http://rappel.conso.gouv.fr/affichettePDF/517/Interne;2021-05
2021-05-0205;1;Imposé par l’administration;Alimentation;Viandes;ökoland;ökoland;4031829230688 Tous les lots Date limite de consommation 09/07/2021;Emballage sous-vide;Du 03/05/2021 au 07/05/2021;Produit à conserver au réfrigérateur;DE - NI34000 - EG;;8, Rue du Tilleul - 67250 HOFFEN;L'Oasis - Épicerie & Drive B!O;Défaut organoleptique des saucisses lié à une contamination chimique;Autres contaminants chimiques;;Les produits peuvent occasionnellement présenter une altération du goût. Les saucisses affectées sont reconnaissables à leur goût amer.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;649878235;Remboursement;lundi 31 mai 2021;En cas de question, veuillez contacter le service client au 0800 58 88 361 ou le 05031 960713 du lundi au vendredi de 9h à 16h, alternativement par email à qm@oekoland.de;http://rappel.conso.gouv.fr/image/fd43f963-cf55-47bd-91ed-aadc15200995.jpg;http://rappel.conso.gouv.fr/document/17cb19d3-5311-456f-b474-4e98c09c04cc/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/518/Interne;2021-05
2021-05-0206;1;Imposé par l’administration;Alimentation;Viandes;ökoland;ökoland;4031829230589 Tous les lots Date limite de consommation 01/07/2021;4031829230688;Du 03/05/2021 au 07/05/2021;Produit à conserver au réfrigérateur;DE - NI34000 - EG;;8, Rue du Tilleul - 67250 HOFFEN;L'Oasis - Épicerie & Drive B!O;Défaut organoleptique des saucisses lié à une contamination chimique;Autres contaminants chimiques;;Les produits peuvent occasionnellement présenter une altération du goût. Les saucisses affectées sont reconnaissables à leur goût amer.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;649878235;Remboursement;lundi 31 mai 2021;En cas de question, veuillez contacter le service client au 0800 58 88 361 ou le 05031 960713 du lundi au vendredi de 9h à 16h, alternativement par email à qm@oekoland.de;http://rappel.conso.gouv.fr/image/68be16f5-7423-4a06-ab7c-4c9b96e16065.jpg;http://rappel.conso.gouv.fr/document/5175c69e-5cf3-42ef-a303-b4618b8d23cf/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/519/Interne;2021-05
2021-05-0207;1;Imposé par l’administration;Alimentation;Viandes;ökoland;ökoland;4031829230572 Tous les lots Date limite de consommation 01/07/2021;Emballage sous-vide;Du 03/05/2021 au 07/05/2021;Produit à conserver au réfrigérateur;DE - NI34000 - EG;;8, Rue du Tilleul - 67250 HOFFEN;L'Oasis - Épicerie & Drive B!O;Défaut organoleptique des saucisses lié à une contamination chimique;Autres contaminants chimiques;;Les produits peuvent occasionnellement présenter une altération du goût. Les saucisses affectées sont reconnaissables à leur goût amer.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;649878235;Remboursement;lundi 31 mai 2021;En cas de question, veuillez contacter le service client au 0800 58 88 361 ou le 05031 960713 du lundi au vendredi de 9h à 16h, alternativement par email à qm@oekoland.de;http://rappel.conso.gouv.fr/image/cab3b442-6466-4158-944e-e60e0ba871b4.jpg;http://rappel.conso.gouv.fr/document/edfa252b-5a17-4c76-8b4a-458e78381197/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/520/Interne;2021-05
2021-05-0208;1;Imposé par l’administration;Alimentation;Viandes;ökoland;ökoland;4031829230503 Tous les lots Date limite de consommation 01/07/2021;Emballage sous-vide;Du 03/05/2021 au 07/05/2021;Produit à conserver au réfrigérateur;DE - NI34000 - EG;;8, Rue du Tilleul - 67250 HOFFEN;L'Oasis - Épicerie & Drive B!O;Défaut organoleptique des saucisses lié à une contamination chimique;Autres contaminants chimiques;;Les produits peuvent occasionnellement présenter une altération du goût. Les saucisses affectées sont reconnaissables à leur goût amer.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;649878235;Remboursement;lundi 31 mai 2021;En cas de question, veuillez contacter le service client au 0800 58 88 361 ou le 05031 960713 du lundi au vendredi de 9h à 16h, alternativement par email à qm@oekoland.de;http://rappel.conso.gouv.fr/image/baeae033-f987-456d-975d-a266b40d17e5.jpg;http://rappel.conso.gouv.fr/document/be359907-9163-404f-bea3-b83fe03a2500/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/521/Interne;2021-05
2021-05-0209;1;Imposé par l’administration;Alimentation;Viandes;ökoland;ökoland;4031829230206 Tous les lots Date limite de consommation entre le 01/07/2021 et le 03/07/2021;Emballage sous-vide;Du 03/05/2021 au 07/05/2021;Produit à conserver au réfrigérateur;DE - NI34000 - EG;;8, Rue du Tilleul - 67250 HOFFEN;L'Oasis - Épicerie & Drive B!O;Défaut organoleptique des saucisses lié à une contamination chimique;Autres contaminants chimiques;;Les produits peuvent occasionnellement présenter une altération du goût. Les saucisses affectées sont reconnaissables à leur goût amer.;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur;649878235;Remboursement;lundi 31 mai 2021;En cas de question, veuillez contacter le service client au 0800 58 88 361 ou le 05031 960713 du lundi au vendredi de 9h à 16h, alternativement par email à qm@oekoland.de;http://rappel.conso.gouv.fr/image/6c421e86-9e2e-4dc9-a195-4eae652d1497.jpg;http://rappel.conso.gouv.fr/document/f2c0aeb1-bff0-46d8-8274-1f873f656e91/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/522/Interne;2021-05
